Year,Experimental Plot Number,Replication,Treatment Number,Crop Rotation,Current Crop,Crop Yield kgha,Fertilizer Nitrogen kg/ha, crop seeds or plant number/ha,Yield $/ha,seed $/ha,$/ha Herbicide (Pre),$/ha Herbicide (incrop),$/ha Herbicide (post),Herbicide cost,Fertilizer cost $,machinery cost (planting),machinery cost (ferti app),machinery cost (harvesting),Machinery use (herbicide app),Production cost $/ha,Net revenue $/ha,Gross revenue $/ha
2017,104,1,29,COWwS,Corn,8772.60,122.19,59994.62,1070.26,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,455.04,1070.26
2017,105,1,28,CSSwP,Pea,3397.52,.,741315.00,883.36,34.32,38.75,.,12.28,51.03,0.00,47.18,,124.86,34.58,291.97,591.39,883.36
2017,106,1,37,CCC,CornHigh,8177.97,132.28,59994.62,997.71,158.99,65.95,33.58,12.28,111.81,101.85,47.92,17.91,132.64,51.87,622.99,374.73,997.71
2017,108,1,30,COWwS,Oat,2466.95,131.16,3229170.00,416.91,37.14,.,11.89,12.28,24.17,100.99,43.10,17.91,84.10,34.58,341.99,74.92,416.91
2017,110,1,20,CSSwSf,Sun,3590.23,110.98,66718.35,1328.38,100.08,62.70,.,.,62.70,85.45,47.18,17.91,124.86,17.29,455.46,872.92,1328.38
2017,113,1,34,CS,Soy,3888.00,.,301468.10,1275.26,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,943.09,1275.26
2017,117,1,12,CPWwS,Soy,5623.17,.,301468.10,1844.40,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,1512.23,1844.40
2017,118,1,26,CSSwP,Soy,5208.55,.,301468.10,1708.41,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,1376.24,1708.41
2017,120,1,11,CPWwS,Wwheat,4461.60,104.25,3444448.00,829.86,31.28,.,.,12.28,12.28,80.27,43.10,17.91,84.10,17.29,286.23,543.62,829.86
2017,122,1,19,CSSwSf,Swheat,1591.54,112.10,3444448.00,359.69,35.82,.,11.89,12.28,24.17,86.32,43.10,17.91,84.10,34.58,326.01,33.68,359.69
2017,123,1,9,CPWwS,Corn,9816.77,122.19,59994.62,1197.65,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,582.43,1197.65
2017,124,1,18,CSSwSf,Soy,3596.25,.,301468.10,1179.57,99.48,14.09,11.98,,26.07,0.00,47.18,,124.86,34.58,332.17,847.40,1179.57
2017,125,1,10,CPWwS,Pea,2841.80,.,741315.00,738.87,34.32,38.75,.,12.28,51.03,0.00,47.18,,124.86,34.58,291.97,446.90,738.87
2017,129,1,32,COWwS,Soy,5364.47,.,301468.10,1759.55,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,1427.38,1759.55
2017,130,1,27,CSSwP,Swheat,1856.10,112.10,3444448.00,419.48,35.82,,11.89,12.28,24.17,86.32,43.10,17.91,84.10,34.58,326.01,93.47,419.48
2017,131,1,25,CSSwP,Corn,11441.30,113.22,59994.62,1395.84,158.99,65.95,33.58,12.28,111.81,87.18,47.92,17.91,132.64,51.87,608.31,787.53,1395.84
2017,132,1,31,COWwS,Wwheat,3403.56,95.29,3444448.00,633.06,31.28,.,.,12.28,12.28,73.37,43.10,17.91,84.10,17.29,279.33,353.73,633.06
2017,133,1,33,CS,Corn,8707.44,122.19,59994.62,1062.31,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,447.09,1062.31
2017,136,1,17,CSSwSf,Corn,9614.36,122.19,59994.62,1172.95,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,557.73,1172.95
2017,201,2,37,CCC,CornHigh,10656.20,132.28,59994.62,1300.06,158.99,65.95,33.58,12.28,111.81,101.85,47.92,17.91,132.64,51.87,622.99,677.07,1300.06
2017,204,2,31,COWwS,Wwheat,3305.86,95.29,3444448.00,614.89,31.28,.,.,12.28,12.28,73.37,43.10,17.91,84.10,17.29,279.33,335.56,614.89
2017,205,2,18,CSSwSf,Soy,3637.32,.,301468.10,1193.04,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,860.87,1193.04
2017,206,2,11,CPWwS,Wwheat,4078.07,104.25,3444448.00,758.52,31.28,.,.,12.28,12.28,80.27,43.10,17.91,84.10,17.29,286.23,472.29,758.52
2017,207,2,29,COWwS,Corn,10094.38,122.19,59994.62,1231.51,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,616.30,1231.51
2017,209,2,17,CSSwSf,Corn,8431.21,122.19,59994.62,1028.61,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,413.39,1028.61
2017,213,2,26,CSSwP,Soy,3750.26,.,301468.10,1230.09,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,897.92,1230.09
2017,217,2,25,CSSwP,Corn,11336.20,113.22,59994.62,1383.02,158.99,65.95,33.58,12.28,111.81,87.18,47.92,17.91,132.64,51.87,608.31,774.70,1383.02
2017,220,2,33,CS,Corn,6546.51,122.19,59994.62,798.67,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,183.46,798.67
2017,221,2,10,CPWwS,Pea,3185.95,.,741315.00,828.35,34.32,38.75,.,12.28,51.03,0.00,47.18,,124.86,34.58,291.97,536.38,828.35
2017,222,2,12,CPWwS,Soy,4389.80,.,301468.10,1439.85,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,1107.69,1439.85
2017,223,2,30,COWwS,Oat,2212.17,131.16,3229170.00,373.86,37.14,.,11.89,12.28,24.17,100.99,43.10,17.91,84.10,34.58,341.99,31.86,373.86
2017,227,2,27,CSSwP,Swheat,1727.05,112.10,3444448.00,390.31,35.82,.,11.89,12.28,24.17,86.32,43.10,17.91,84.10,34.58,326.01,64.31,390.31
2017,230,2,34,CS,Soy,3540.27,.,301468.10,1161.21,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,829.04,1161.21
2017,231,2,19,CSSwSf,Swheat,919.80,112.10,3444448.00,207.88,35.82,.,11.89,12.28,24.17,86.32,43.10,17.91,84.10,34.58,326.01,-118.13,207.88
2017,232,2,32,COWwS,Soy,4649.04,.,301468.10,1524.88,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,1192.72,1524.88
2017,233,2,28,CSSwP,Pea,4860.65,.,741315.00,1263.77,34.32,38.75,.,12.28,51.03,0.00,47.18,,124.86,34.58,291.97,971.80,1263.77
2017,234,2,20,CSSwSf,Sun,3445.40,110.98,66718.35,1274.80,100.08,62.70,.,.,62.70,85.45,47.18,17.91,124.86,17.29,455.46,819.34,1274.80
2017,235,2,9,CPWwS,Corn,8904.67,122.19,59994.62,1086.37,158.99,65.95,33.58,12.28,111.81,94.09,47.92,17.91,132.64,51.87,615.22,471.15,1086.37
2017,301,3,27,CSSwP,Swheat,1727.05,112.10,3444448.00,390.31,35.82,.,11.89,12.28,24.17,86.32,43.10,17.91,84.10,34.58,326.01,64.31,390.31
2017,302,3,10,CPWwS,Pea,2839.48,.,741315.00,738.27,34.32,38.75,.,12.28,51.03,0.00,47.18,,124.86,34.58,291.97,446.30,738.27
2017,303,3,32,COWwS,Soy,4859.81,.,301468.10,1594.02,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,1261.85,1594.02
2017,304,3,11,CPWwS,Wwheat,3087.00,104.25,3444448.00,574.18,31.28,.,.,12.28,12.28,80.27,43.10,17.91,84.10,17.29,286.23,287.95,574.18
2017,307,3,37,CCC,CornHigh,7932.79,132.28,59994.62,967.80,158.99,65.95,33.58,12.28,111.81,101.85,47.92,17.91,132.64,51.87,622.99,344.82,967.80
2017,310,3,34,CS,Soy,2624.95,.,301468.10,860.98,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,528.81,860.98
2017,312,3,12,CPWwS,Soy,3913.44,.,301468.10,1283.61,99.48,14.09,11.98,.,26.07,0.00,47.18,,124.86,34.58,332.17,951.44,1283.61
2017,313,3,20,CSSwSf,Sun,2137.05,110.98,66718.35,790.71,100.08,62.70,.,.,62.70,85.45,47.18,17.91,124.86,17.29,455.46,335.25,790.71
